Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude
Tall Poles,12M15,Utah,Snow Course/Aerial Marker,Iron,8656,37.72345,-112.84175
Temple Fork,1013,Utah,SNOTEL,Cache,7406,41.793,-111.54605
Thaynes Canyon,814,Utah,SNOTEL,Summit,9230,40.6235,-111.53322
Thistle Flat,11K35,Utah,Snow Course/Aerial Marker,Sanpete,8858,39.2377,-111.51967
Thistle Flat,1226,Utah,SNOTEL,Sanpete,8787,39.23803,-111.51998
Timberline,1097,Utah,SNOTEL,Carbon,8736,39.67712,-110.43395
Timpanogos Divide,820,Utah,SNOTEL,Utah,8140,40.42817,-111.61633
Tony Grove Lake,823,Utah,SNOTEL,Cache,8474,41.89833,-111.62957
Tony Grove RS,1113,Utah,SNOTEL,Cache,6332,41.88573,-111.56918
Tony Grove Ranger Station,11H03,Utah,Snow Course/Aerial Marker,Cache,6250,41.88467,-111.56882
Trial Lake,10J08,Utah,Snow Course/Aerial Marker,Summit,9953,40.67933,-110.94877
Trial Lake,828,Utah,SNOTEL,Summit,9992,40.678,-110.94873
Trout Creek,833,Utah,SNOTEL,Uintah,9518,40.739,-109.6728
Tule Valley,2163,Utah,SCAN,Millard,4592,39.23724,-113.45866
Upper Enterprise,10UTENTU,Utah,Reservoir,Iron,5753,37.51939,-113.86197
Upper Joes Valley,1227,Utah,SNOTEL,Emery,8596,39.4155,-111.2491
Upper Stillwater Reservoir,9278000,Utah,Reservoir,Duchesne,8170,40.5592,-110.69971
Usu Doc Daniel,1098,Utah,SNOTEL,Rich,8270,41.86425,-111.50603
Utah Lake,10166500,Utah,Reservoir,Utah,4660,40.35867,-111.89339
Vermillion,2162,Utah,SCAN,Kane,6392,37.19061,-112.19252
Vernon Creek,844,Utah,SNOTEL,Tooele,7401,39.93667,-112.41478
Vipont,13H03,Utah,Snow Course/Aerial Marker,Box Elder,7670,41.94104,-113.83289
Webster Flat,853,Utah,SNOTEL,Iron,9203,37.575,-112.90155
West Summit,2139,Utah,SCAN,San Juan,6993,38.01394,-109.12745
White River #1,864,Utah,SNOTEL,Wasatch,8641,39.9645,-110.98845
Widtsoe #3,865,Utah,SNOTEL,Garfield,9640,37.83633,-111.88163
Wilbur Bench,543,Utah,SNOTEL,Duchesne,9171,39.89166,-110.74604
Willard Bay,10140800,Utah,Reservoir,Box Elder,4200,41.4,-112.08333
Wolf Creek Peak,1164,Utah,SNOTEL,Wasatch,9796,40.47733,-111.04469
Woodruff Creek,10UTWOOD,Utah,Reservoir,Rich,6852,41.46666,-111.31838
Wrigley Creek,1228,Utah,SNOTEL,Sanpete,9327,39.13233,-111.35685
Yankee Reservoir,1197,Utah,SNOTEL,Iron,8692,37.74797,-112.77495
