Name,Latitude,Longitude,County
Washington Terrace city,41.17,-111.98,29
Wellington city,39.53,-110.73,26
Wellsville city,41.63,-111.94,5
Wendover city,40.72,-114.02,27
West Bountiful city,40.9,-111.91,15
West Haven city,41.21,-112.05,29
West Jordan city,40.6,-112,2
West Mountain,40.06,-111.79,2
West Point city,41.12,-112.1,15
West Valley City city,40.69,-112.01,2
West Wood,39.61,-110.84,2
White City,40.57,-111.86,2
White Mesa,37.46,-109.46,2
Whiterocks,40.47,-109.94,2
Willard city,41.41,-112.04,11
Wolf Creek,41.33,-111.83,11
Woodland,40.58,-111.24,11
Woodland Hills city,40.01,-111.65,1
Woodruff town,41.52,-111.16,30
Woods Cross city,40.87,-111.92,15
